=== NPC Trace: chicken_60 ===
Abilities: [1, 1, 1, 3]
Simulation: M=64, N_coop=4, k=4, T=256
============================================================

Tourn Step |              Pre-Location -> Post-Location             | Action                             | W/L   | share_obs              | transfer     | extend_own
T   3 step 12 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 3 |                        |              | 
T   3 step 13 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 4 |                        |              | 
T   3 step 14 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 2/L 4 |                        |              | 
T   3 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 4 |                        |              | 
T   3 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 4 |                        |              | 
T   3 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 4 |                        |              | 
T   3 step 18 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 4 |                        |              | 
T   4 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop3 | a_move->coop3                      | W 0/L 1 |                        |              | 
  --- Tournament 4 closed | sack: 0 (+0) ---

T   4 step  2 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T   4 step  3 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 1 |                        |              | 
T   4 step  4 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 1 |                        |              | 
T   4 step  5 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 2 |                        |              | 
T   4 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 2 |                        |              | 
T   4 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 5/L 2 |                        |              | 
T   4 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 6/L 2 |                        |              | 
T   4 step  9 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 6/L 2 |                        |              | 
T   4 step 10 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   4 step 11 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   4 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   4 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   4 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   4 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   4 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   4 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   5 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop0 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 5 closed | sack: 0 (+0) ---

T   5 step  2 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T   5 step  3 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 2/L 1 |                        |              | 
T   5 step  4 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 3/L 1 |                        |              | 
T   5 step  5 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 3/L 2 |                        |              | 
T   5 step  6 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 3/L 3 |                        |              | 
T   5 step  7 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 3/L 4 |                        |              | 
T   5 step  8 |           BattleZone@coop0 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 3/L 4 |                        |              | 
T   5 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T   5 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 2 |                        |              | 
T   5 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T   5 step 12 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 3 |                        |              | 
T   5 step 13 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 1/L 3 |                        |              | 
T   5 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   5 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   5 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   5 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   5 step 18 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   6 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop1 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 6 closed | sack: 0 (+0) ---

T   6 step  2 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 0/L 2 |                        |              | 
T   6 step  3 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 0/L 3 |                        |              | 
T   6 step  4 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 0/L 4 |                        |              | 
T   6 step  5 |           BattleZone@coop1 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 0/L 4 |                        |              | 
T   6 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T   6 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T   6 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 1 |                        |              | 
T   6 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 1 |                        |              | 
T   6 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 1 |                        |              | 
T   6 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 2 |                        |              | 
T   6 step 12 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 4/L 2 |                        |              | 
T   6 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 2 |                        |              | 
T   6 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 2 |                        |              | 
T   6 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 2 |                        |              | 
T   7 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop1 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 7 closed | sack: 0 (+0) ---

T   7 step  2 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T   7 step  3 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 1 |                        |              | 
T   7 step  4 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 2 |                        |              | 
T   7 step  5 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 3 |                        |              | 
T   7 step  6 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 4 |                        |              | 
T   7 step  7 |           BattleZone@coop1 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 2/L 4 |                        |              | 
T   7 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T   7 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T   7 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T   7 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 3 |                        |              | 
T   7 step 12 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 1/L 3 |                        |              | 
T   7 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   7 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   7 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   7 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   7 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   7 step 18 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 1/L 3 |                        |              | 
T   8 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop3 | a_move->coop3                      | W 0/L 1 |                        |              | 
  --- Tournament 8 closed | sack: 0 (+0) ---

T   8 step  2 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T   8 step  3 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 2 |                        |              | 
T   8 step  4 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 2 |                        |              | 
T   8 step  5 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 2 |                        |              | 
T   8 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 2 |                        |              | 
T   8 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 5/L 2 |                        |              | 
T   8 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 6/L 2 |                        |              | 
T   8 step  9 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 6/L 2 |                        |              | 
T   8 step 10 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   8 step 11 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   8 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   8 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   8 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   8 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   8 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   8 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 6/L 2 |                        |              | 
T   9 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop0 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 9 closed | sack: 0 (+0) ---

T   9 step  2 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T   9 step  3 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 1/L 2 |                        |              | 
T   9 step  4 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 1/L 3 |                        |              | 
T   9 step  5 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 2/L 3 |                        |              | 
T   9 step  6 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 3/L 3 |                        |              | 
T   9 step  7 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 4/L 3 |                        |              | 
T   9 step  8 |           BattleZone@coop0 -> BattleZone          @coop0 | battle(policy:a_move->coop3)       | W 4/L 4 |                        |              | 
T   9 step  9 |           BattleZone@coop0 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 4/L 4 |                        |              | 
T   9 step 10 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 0/L 1 |                        |              | 
T   9 step 11 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 1 |                        |              | 
T   9 step 12 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 1 |                        |              | 
T   9 step 13 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 2 |                        |              | 
T   9 step 14 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 3 |                        |              | 
T   9 step 15 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 2/L 3 |                        |              | 
T   9 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 3 |                        |              | 
T   9 step 17 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 3 |                        |              | 
T  10 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop3 | a_move->coop3                      | W 1/L 0 |                        |              | 
  --- Tournament 10 closed | sack: 0 (+0) ---

T  10 step  2 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 0 |                        |              | 
T  10 step  3 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 3/L 0 |                        |              | 
T  10 step  4 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 0 |                        |              | 
T  10 step  5 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 1 |                        |              | 
T  10 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 2 |                        |              | 
T  10 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 4/L 3 |                        |              | 
T  10 step  8 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 4/L 3 |                        |              | 
T  10 step  9 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T  10 step 10 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T  10 step 11 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T  10 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T  10 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T  10 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T  10 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 4/L 3 |                        |              | 
T  11 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop1 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 11 closed | sack: 0 (+0) ---

T  11 step  2 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 0/L 2 |                        |              | 
T  11 step  3 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 0/L 3 |                        |              | 
T  11 step  4 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 0/L 4 |                        |              | 
T  11 step  5 |           BattleZone@coop1 -> BattleZone          @coop3 | unpaired(policy:a_move->coop3)     | W 0/L 4 |                        |              | 
T  11 step  6 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 1/L 0 |                        |              | 
T  11 step  7 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 0 |                        |              | 
T  11 step  8 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 1 |                        |              | 
T  11 step  9 |           BattleZone@coop3 -> BattleZone          @coop3 | battle(policy:a_watch->coop3)      | W 2/L 2 |                        |              | 
T  11 step 10 |           BattleZone@coop3 -> SpectatorZone       @coop3 | unpaired(policy:a_watch->coop3)    | W 2/L 2 |                        |              | 
T  11 step 11 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 2 |                        |              | 
T  11 step 12 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 2 |                        |              | 
T  11 step 13 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 2 |                        |              | 
T  11 step 14 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 2 |                        |              | 
T  11 step 15 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 2 |                        |              | 
T  11 step 16 |        SpectatorZone@coop3 -> SpectatorZone       @coop3 | a_move->coop3                      | W 2/L 2 |                        |              | 
T  12 step  1 |        SpectatorZone@coop3 -> BattleZone          @coop1 | a_move->coop3                      | W 0/L 0 |                        |              | 
  --- Tournament 12 closed | sack: 0 (+0) ---

T  12 step  2 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 1 |                        |              | 
T  12 step  3 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 1/L 2 |                        |              | 
T  12 step  4 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 2 |                        |              | 
T  12 step  5 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 3 |                        |              | 
T  12 step  6 |           BattleZone@coop1 -> BattleZone          @coop1 | battle(policy:a_move->coop3)       | W 2/L 4 |                        |              | 
